Actual,Predicted
93.6,185.1981859973799
188.6,218.59117711933362
358.6,229.81367215041425
103.6,214.85584749645142
218.6,196.4896530492778
268.6,192.73443231829043
244.6,222.6177664967746
288.6,177.96963854097797
268.6,269.3835302966716
128.6,177.67819558148523
283.6,243.7951944132926
198.6,243.21579845932567
148.6,216.26184663408188
148.6,227.31692487250322
278.6,215.76621782331364
348.6,255.77429722716104
167.98,153.73605612886666
308.6,413.00972757248854
198.6,221.0541245622709
238.6,215.71868433484994
283.6,244.6738464606238
1098.6,303.195354075556
278.6,225.86061679966934
111.6,193.30606056194304
358.6,364.7032976753018
338.61,392.3965874172672
323.6,245.30927990775592
162.6,206.34517243461224
398.6,417.0847247839763
328.6,242.58364751257253
403.6,257.6860416243873
378.6,323.8885909850729
598.61,592.1138545222683
108.6,172.52579244202727
428.6,424.433689850581
218.6,299.8434000749136
205.61,206.88069643616257
233.6,220.52354833745576
188.6,179.0267355240335
598.61,611.8880407597405
428.6,423.78578697124317
253.61,216.22185632177832
428.6,245.31616769673684
198.6,215.76261645122958
248.6,275.85280756326466
178.6,190.0970088937174
118.6,149.00570391271893
438.6,213.84006164530706
328.6,241.02030346507482
299.6,254.1031615822224
278.6,179.0267355240335
188.6,269.2454603059139
214.35,250.1357985277565
140.6,206.88069643616257
298.6,272.81248174419324
208.61,193.30064294466007
66.99,75.30676229204039
328.6,223.600671496145
408.6,393.8209089650013
268.6,192.74267326238999
143.6,166.32771962072275
278.6,219.01852839487242
53.6,165.15181317025383
348.6,396.5444422493775
168.61,176.57830257304678
158.6,314.34188920244736
218.6,194.25703953838058
618.6,613.8722597712998
198.6,202.65269474054367
173.6,217.2042052759064
288.6,175.8643286941967
191.6,292.12715168022623
103.6,216.3057787504615
98.6,169.66309582963905
151.6,255.93224582670098
348.6,282.2118599650816
172.6,175.42164972771258
178.6,225.3169532589294
448.6,450.23017089627183
338.61,271.4599660596681
168.61,265.11155246962943
289.6,253.65204855191584
408.6,327.05816340849
338.59,326.97613388847407
143.6,204.64267637769524
498.6,502.34843944003615
168.61,194.10659018465125
258.6,239.03901395445038
448.6,257.57964609691413
149.99,152.55628992776016
278.6,302.0111722581518
318.6,449.1639558247895
148.6,179.0267355240335
278.6,242.58364751257253
523.6,403.3745388112553
162.6,208.49467829389997
338.61,268.9767236844152
148.6,213.69048276887352
328.6,242.58364751257253
244.6,172.10468986876978
288.6,216.26184663408188
148.6,165.9405348970959
191.6,271.7404223515964
208.61,228.44432015379186
498.6,221.48071383577746
88.6,205.28437565118023
113.6,167.02038091430902
428.6,335.9188309329932
118.6,183.71585136253077
53.99,98.60865786844164
187.6,172.2712384776336
150.6,238.69763396566339
308.6,370.9108944716549
358.6,237.66096276002634
143.6,165.1127784871574
241.6,278.5870453599727
508.6,502.27416892544346
183.6,278.59660348448926
202.6,288.47209426623664
318.6,352.9003048319058
172.6,268.006826453093
98.6,177.05540312648853
308.6,423.43391029778417
249.35,249.80401609645597
148.6,204.64267637769524
153.6,196.4795636635606
608.6,610.9878798212414
244.6,221.18104649365125
298.59,219.8671808738936
198.6,190.11097282551955
408.6,444.843056464257
